065|4|8,396|7,443,846|07 Jan 2026
066|4|8,396|7,650,000|18 Jun 2025
067|4|8,396|7,257,888|13 Mar 2024
068|4|8,396|7,562,000|25 Feb 2025
069|4|8,396|7,297,888|21 Mar 2024
070|4|8,396|7,257,888|03 Apr 2024
071|4|8,396|7,297,888|13 Mar 2024
072|4|8,396|7,516,888|01 Jul 2024
073|5|9,389|10,058,610|14 Mar 2024
074|5|9,418|9,365,652|09 May 2024
075|4|8,913|7,785,888|04 Dec 2025
076|4|8,783|7,729,888|29 Apr 2024
077|4|8,783|7,729,888|25 Jun 2025
078|4|8,783|7,846,888|15 Apr 2024
079|5|9,515|9,906,888|03 Apr 2024
080|5|9,515|9,813,888|03 Apr 2024
081|5|9,516|9,764,888|15 Apr 2024
082|5|9,872|9,798,888|03 Apr 2024
083|4|8,925|7,897,746|20 Feb 2026
084|4|8,783|7,930,000|02 Feb 2026
085|4|8,783|7,930,000|26 Feb 2026
086|4|8,783|7,300,000|04 May 2026
087|4|8,783|7,772,888|16 Apr 2024
088|5|9,569|10,096,888|16 Apr 2024
089|5|9,972|10,136,888|21 Mar 2024
090|5|9,998|9,859,888|19 Apr 2024
091|4|9,949|7,831,888|21 Mar 2024
092|4|9,834|7,823,888|22 Mar 2024
093|5|9,932|9,804,888|28 Mar 2024
094|5|9,583|9,395,150|10 Jun 2024
095|5|9,213|9,600,888|22 Mar 2024
096|5|9,213|10,153,888|15 Apr 2024
097|5|9,213|10,103,888|24 Jun 2024
098|5|9,213|10,153,888|01 Apr 2024
099|5|9,130|10,100,000|11 Feb 2026
100|5|9,946|9,805,888|11 Feb 2026
101|5|9,295|10,203,888|28 May 2024
102|5|9,764|10,301,888|15 Mar 2024
103|5|9,929|10,174,888|15 Mar 2024
104|5|9,740|10,247,888|21 Mar 2024
105|5|9,437|10,217,888|21 Mar 2024
106|5|9,316|10,062,249|08 Mar 2024
107|5|9,316|10,163,888|15 Mar 2024
108|5|9,967|9,807,888|14 Mar 2024
109|5|9,960|9,807,888|22 Mar 2024
110|5|9,341|10,166,888|16 May 2024
111|5|9,532|10,278,888|21 Mar 2024
112|4|8,531|7,551,770|23 Apr 2024
113|4|8,491|7,744,888|08 Mar 2024
114|4|8,491|7,744,888|22 Mar 2024
115|4|8,936|7,743,888|27 Jan 2025
116|4|9,594|7,795,790|21 Mar 2024
117|5|9,343|10,116,888|23 May 2024
118|5|9,308|9,978,888|25 Sep 2025
119|5|9,300|9,744,888|15 Mar 2024
120|5|9,300|9,150,000|25 Jun 2026
121|5|9,249|9,788,888|19 Jul 2024
122|5|9,860|9,982,888|21 Mar 2024
123|5|9,402|10,121,888|25 Mar 2024
124|5|9,870|10,218,888|27 Aug 2024
125|5|9,876|9,983,888|18 Mar 2024
126|5|9,874|9,798,888|08 Mar 2024
127|5|9,772|9,837,888|15 Jul 2024
128|5|9,436|9,757,888|08 Mar 2024
