165|Sale|Sold|9,500,000|10 Sep 2026|
209|Sale|Sold|11,877,199|05 Aug 2026|
51|Sale|Sold|11,500,000|05 Aug 2026|
177|Sale|Sold|10,700,000|04 Aug 2026|
86|Sale|Sold|17,909,552|02 Jul 2026|
29|Sale|Sold|9,500,000|22 Jun 2026|
163|Sale|Sold|10,450,000|19 Jun 2026|
31|Sale|Sold|9,550,000|18 Jun 2026|
96|Sale|Sold|9,600,000|19 May 2026|
138|Sale|Sold|10,750,000|04 May 2026|
158|Sale|Sold|10,519,888|27 Apr 2026|
112|Sale|Sold|10,000,000|21 Apr 2026|
244|Sale|Sold|6,250,000|14 Apr 2026|
40|Sale|Sold|6,291,299|14 Mar 2026|
212|Sale|Sold|16,700,000|27 Feb 2026|
18|Sale|Sold|12,600,000|27 Feb 2026|
189|Sale|Sold|13,000,000|23 Feb 2026|
240|Sale|Sold|11,350,000|18 Feb 2026|
254|Sale|Sold|13,700,000|16 Feb 2026|
222|Sale|Sold|11,600,000|16 Feb 2026|
224|Sale|Sold|11,300,000|13 Feb 2026|
68|Sale|Sold|11,000,000|06 Feb 2026|
160|Sale|Sold|12,500,000|29 Jan 2026|
139|Sale|Sold|12,950,000|22 Jan 2026|
168|Sale|Sold|13,750,000|05 Jan 2026|
92|Sale|Sold|16,000,000|23 Dec 2025|
57|Sale|Sold|11,200,000|22 Dec 2025|
24|Sale|Sold|10,450,000|17 Dec 2025|
32|Sale|Sold|10,450,000|28 Nov 2025|
89|Sale|Sold|15,300,000|21 Nov 2025|
106|Sale|Sold|14,250,000|17 Nov 2025|
231|Sale|Sold|10,500,000|04 Nov 2025|
56|Sale|Sold|10,650,000|28 Oct 2025|
99|Sale|Sold|9,750,000|22 Oct 2025|
188|Sale|Sold|12,300,000|10 Oct 2025|
190|Sale|Sold|10,600,000|02 Oct 2025|
44|Sale|Sold|11,400,000|25 Sep 2025|
120|Sale|Sold|11,600,000|25 Sep 2025|
71|Sale|Sold|15,480,000|23 Sep 2025|
35|Sale|Sold|10,200,000|22 Sep 2025|
147|Sale|Sold|15,350,000|03 Sep 2025|
28|Sale|Sold|11,500,000|21 Aug 2025|
107|Sale|Sold|11,750,000|04 Aug 2025|
51|Sale|Sold|11,700,000|25 Jul 2025|
153|Sale|Sold|15,000,000|22 Jul 2025|
234|Sale|Sold|10,300,000|21 Jul 2025|
185|Sale|Sold|11,000,000|26 Jun 2025|
113|Sale|Sold|10,750,000|16 Jun 2025|
243|Sale|Sold|10,600,000|29 May 2025|
250|Sale|Sold|10,800,000|29 May 2025|
264|Sale|Sold|12,400,000|27 May 2025|
75|Sale|Sold|15,200,000|22 Apr 2025|
36|Sale|Sold|9,600,000|14 Apr 2025|
254|Sale|Sold|2,562,000|08 Apr 2025|
245|Sale|Sold|9,500,000|25 Mar 2025|
80|Sale|Sold|13,000,000|24 Mar 2025|
73|Sale|Sold|16,000,000|24 Mar 2025|
25|Sale|Sold|10,550,000|18 Mar 2025|
202|Sale|Sold|15,300,000|28 Feb 2025|
218|Sale|Sold|10,752,888|20 Feb 2025|
124|Sale|Sold|10,600,000|19 Feb 2025|
244|Sale|Sold|10,250,000|18 Feb 2025|
